,faltantes
EDAD,2
GÉNERO,2
Me interesa aprender sobre tecnología,1
Creo que la tecnología puede ayudar a mi comunidad(Loja/Ecuador),1
Puedo trabajar en equipo para desarrollar un proyecto,1
Programación (Scratch/Python/u otro),3
"IoT(sensores, Arduino)",2
"IA(ChatGPT, reconocimiento de imágenes, etc.)",7
"¿Tu colegio realiza ""proyecto de año"" u otro proyecto integrador?",1
¿Qué te gustaría que estos talleres aporten a tu proyecto escolar? (elige hasta 2),1
¿Qué te podría dificultar participar/aprender? (elige hasta 2),1
¿Quién te apoya más para pensar en tu futuro?,2
¿Qué tema tecnológico te interesa más y por qué?,1
¿Qué problema de tu colegio o comunidad te gustaría resolver con tecnología?,2
