,Spearman
Me interesa aprender sobre tecnología,0.47
"Siento curiosidad por cómo funcionan las cosas (apps, videojuegos, internet, robots, etc.)",0.44
Me gustaría participar en proyectos donde use tecnología para resolver problemas reales,0.36
Me siento capaz de aprender programación o herramientas tecnológicas si tengo buena guía,0.34
"IoT(sensores, Arduino)",0.34
Diseño de apps/web,0.23
"Si algo no me sale en tecnología, lo intento de nuevo hasta entenderlo",0.21
Creo que la tecnología puede ayudar a mi comunidad(Loja/Ecuador),0.11
Puedo trabajar en equipo para desarrollar un proyecto,0.05
Me siento cómodo/a haciendo preguntas cuando no entiendo,0.03
"IA(ChatGPT, reconocimiento de imágenes, etc.)",0.02
Programación (Scratch/Python/u otro),-0.0
